epoch,train_loss,val_loss,lr
0,0.3939314350485802,1.2112176179885865,0.0009938441702975688
1,0.1439347580075264,0.694277310371399,0.0009755282581475768
2,0.10467680245637893,0.3630294144153595,0.0009455032620941839
3,0.08428422585129738,0.41446508169174195,0.0009045084971874737
4,0.07687936946749688,0.9203108549118042,0.0008535533905932737
5,0.06719486899673939,0.7494740009307861,0.0007938926261462366
6,0.06272617131471633,0.7478458046913147,0.0007269952498697733
7,0.05850466191768646,0.8679717063903809,0.0006545084971874737
8,0.05281704775989056,1.1784165382385254,0.0005782172325201155
9,0.04854786098003387,1.0966816425323487,0.0005
10,0.047643211856484416,1.2088412523269654,0.0004217827674798847
