nodenumber     x-coordinate     y-coordinate     z-coordinate prandtl-number-lam      z-vorticity turb-reynolds-number-rey cell-reynolds-number dynamic-pressure velocity-magnitude       x-velocity          density   nusselt-number wall-adjacent-temperature wall-temperature      temperature 
         1  0.000000000E+00  3.025122331E-12 -8.991895676E-04  4.122191589E+00  2.982561628E-02  1.818605868E-04  1.344011646E+00  1.262162675E-02  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         2  2.040816309E-03 -1.896557859E-12 -8.991897408E-04  4.122191589E+00  1.914339435E-02  1.038044733E-04  1.071405254E+00  8.539617282E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         3  4.081632618E-03  2.516534087E-12 -8.991897406E-04  4.122191589E+00  6.657564299E-03  2.646417095E-05  7.455865942E-01  3.903291711E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         4  6.122448946E-03  2.516534087E-12 -8.991897406E-04  4.122191589E+00  5.662028605E-03  2.735469243E-05  6.906315940E-01  3.332142588E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         5  8.163265274E-03  2.516534087E-12 -8.991897406E-04  4.122191589E+00  5.503221876E-03  2.744961137E-05  6.819410563E-01  3.249127240E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         6  1.020408160E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.406950566E-03  2.730782339E-05  6.723328383E-01  3.157936318E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         7  1.224489793E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.364073539E-03  2.720495649E-05  6.672389325E-01  3.110258569E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         8  1.428571426E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.333130366E-03  2.715489000E-05  6.636426930E-01  3.076790415E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
         9  1.632653059E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.316896942E-03  2.716169903E-05  6.618829763E-01  3.060488397E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        10  1.836734691E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.309603054E-03  2.721121883E-05  6.612444349E-01  3.054583641E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        11  2.040816324E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.309386175E-03  2.729432249E-05  6.615227773E-01  3.057156447E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        12  2.244897957E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.314928332E-03  2.740299757E-05  6.624644796E-01  3.065868614E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        13  2.448979590E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.326214029E-03  2.753159763E-05  6.639354582E-01  3.079501290E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        14  2.653061223E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.333140191E-03  2.767473399E-05  6.658011842E-01  3.096835262E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        15  2.857142855E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.363618733E-03  2.782687805E-05  6.679469392E-01  3.116830052E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        16  3.061224488E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.393308502E-03  2.798417082E-05  6.702703492E-01  3.138552242E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        17  3.265306121E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.384978274E-03  2.814584054E-05  6.727326595E-01  3.161655326E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        18  3.469387754E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.409423388E-03  2.831158728E-05  6.753175631E-01  3.185999566E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        19  3.673469387E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.414595730E-03  2.847968848E-05  6.779911562E-01  3.211276904E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        20  3.877551020E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.418248391E-03  2.864870719E-05  6.807245611E-01  3.237222829E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        21  4.081632652E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.466470600E-03  2.881835063E-05  6.835062570E-01  3.263734120E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        22  4.285714285E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.494224236E-03  2.898809841E-05  6.863258567E-01  3.290716850E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        23  4.489795918E-02  2.526534090E-12 -8.991897406E-04  4.122191589E+00  5.509218809E-03  2.915683833E-05  6.891548462E-01  3.317900798E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
        24  4.693877551E-02  2.521534044E-12 -8.991897406E-04  4.122191589E+00  5.547727897E-03  2.932373341E-05  6.919786318E-01  3.345146260E-03  0.000000000E+00  0.000000000E+00  4.550099792E+02  0.000000000E+00  6.230000000E+02  6.230000000E+02  6.230000000E+02 
