nodenumber     x-coordinate     y-coordinate     z-coordinate prandtl-number-lam      z-vorticity turb-reynolds-number-rey cell-reynolds-number dynamic-pressure velocity-magnitude       x-velocity          density   nusselt-number wall-adjacent-temperature wall-temperature      temperature 
         1  0.000000000E+00  3.025122331E-12 -8.991895676E-04  9.891113285E-01  1.076494655E-01  2.261227046E-03  1.765770891E+01  6.227392779E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         2  2.040816309E-03 -1.896557859E-12 -8.991897408E-04  9.891113285E-01  1.632015950E-01  1.775610598E-03  1.534867969E+01  4.811383963E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         3  4.081632618E-03  2.516534087E-12 -8.991897406E-04  9.891113285E-01  1.705664403E-01  1.250400614E-03  1.245625994E+01  3.105154381E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         4  6.122448946E-03  2.516534087E-12 -8.991897406E-04  9.891113285E-01  1.244164148E-01  1.183716130E-03  1.165041483E+01  2.711422697E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         5  8.163265274E-03  2.516534087E-12 -8.991897406E-04  9.891113285E-01  1.115300378E-01  1.140322064E-03  1.130349471E+01  2.551727530E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         6  1.020408160E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.086045638E-01  1.112841767E-03  1.108257490E+01  2.452846568E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         7  1.224489793E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.066283445E-01  1.094257210E-03  1.092465710E+01  2.383337459E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         8  1.428571426E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.053984473E-01  1.081977732E-03  1.082232362E+01  2.338855414E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
         9  1.632653059E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.046095169E-01  1.073891910E-03  1.075350617E+01  2.309187892E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        10  1.836734691E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.040741364E-01  1.068655924E-03  1.070754376E+01  2.289481293E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        11  2.040816324E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.036676865E-01  1.065534719E-03  1.067898992E+01  2.277282628E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        12  2.244897957E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.033877706E-01  1.064005580E-03  1.066339135E+01  2.270633011E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        13  2.448979590E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.033201112E-01  1.063710476E-03  1.065783322E+01  2.268266057E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        14  2.653061223E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.048170008E-01  1.064404795E-03  1.066033343E+01  2.269330567E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        15  2.857142855E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.038078458E-01  1.065883124E-03  1.066925173E+01  2.273129637E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        16  3.061224488E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.053203812E-01  1.068007083E-03  1.068345689E+01  2.279187283E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        17  3.265306121E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  9.961962327E-02  1.070668271E-03  1.070205622E+01  2.287130809E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        18  3.469387754E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.016609133E-01  1.073764993E-03  1.072423459E+01  2.296620787E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        19  3.673469387E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.032311351E-01  1.077222413E-03  1.074939077E+01  2.307408616E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        20  3.877551020E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  9.897861657E-02  1.080974148E-03  1.077698342E+01  2.319270181E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        21  4.081632652E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.147185948E-01  1.084955035E-03  1.080645256E+01  2.331971761E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        22  4.285714285E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.021885626E-01  1.089112724E-03  1.083740215E+01  2.345348675E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        23  4.489795918E-02  2.526534090E-12 -8.991897406E-04  9.891113285E-01  1.010687719E-01  1.093396144E-03  1.086943175E+01  2.359232618E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        24  4.693877551E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.143883393E-01  1.097772715E-03  1.090226782E+01  2.373508558E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        25  4.897959184E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.040303431E-01  1.102210478E-03  1.093563176E+01  2.388057953E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        26  5.102040816E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.019938085E-01  1.106687568E-03  1.096930869E+01  2.402789034E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        27  5.306122449E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.070888690E-01  1.111191449E-03  1.100325413E+01  2.417683359E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        28  5.510204082E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.113053288E-01  1.115715351E-03  1.103740283E+01  2.432713406E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        29  5.714285715E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.053019872E-01  1.120249456E-03  1.107162468E+01  2.447822383E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        30  5.918367348E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.081829227E-01  1.124787806E-03  1.110592896E+01  2.463014699E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        31  6.122448980E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.156521108E-01  1.129333949E-03  1.114036568E+01  2.478312771E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        32  6.326530613E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.102397809E-01  1.133882317E-03  1.117490798E+01  2.493705370E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        33  6.530612246E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.054138368E-01  1.138415439E-03  1.120939525E+01  2.509120829E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        34  6.734693879E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.075168856E-01  1.142934570E-03  1.124391799E+01  2.524599940E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        35  6.938775512E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.096676188E-01  1.147406047E-03  1.127822038E+01  2.540027000E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        36  7.142857145E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.095604100E-01  1.151748241E-03  1.131173536E+01  2.555145327E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        37  7.346938777E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.099334158E-01  1.155824080E-03  1.134333999E+01  2.569442291E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        38  7.551020410E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.102310894E-01  1.159532415E-03  1.137234456E+01  2.582598420E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        39  7.755102043E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.104858384E-01  1.162773832E-03  1.139779832E+01  2.594170922E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        40  7.959183676E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.107266658E-01  1.165545504E-03  1.141980834E+01  2.604199254E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        41  8.163265309E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.109265446E-01  1.167818955E-03  1.143786009E+01  2.612437812E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        42  8.367346941E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.111321472E-01  1.169681447E-03  1.145292080E+01  2.619322160E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        43  8.571428574E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.112768245E-01  1.171115285E-03  1.146438555E+01  2.624568013E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        44  8.775510207E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.113739872E-01  1.172268140E-03  1.147397648E+01  2.628961532E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        45  8.979591840E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.114871057E-01  1.173070951E-03  1.148035410E+01  2.631884245E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
        46  9.183673473E-02  2.521534044E-12 -8.991897406E-04  9.891113285E-01  1.138980900E-01  1.173742929E-03  1.148630514E+01  2.634614062E-01  0.000000000E+00  0.000000000E+00  8.661349487E+01  0.000000000E+00  7.730000000E+02  7.730000000E+02  7.730000000E+02 
