epoch,train_loss,val_loss,lr
0,0.3939313143491745,0.46748114228248594,0.0009938441702975688
1,0.10866839587688445,0.3363261878490448,0.0009755282581475768
2,0.05604794844985008,0.3124733567237854,0.0009455032620941839
3,0.037445244193077085,0.360881632566452,0.0009045084971874737
4,0.03218967113643885,0.26670185327529905,0.0008535533905932737
5,0.02611964624375105,0.2416915327310562,0.0007938926261462366
6,0.024158384837210178,0.23142385482788086,0.0007269952498697733
7,0.02124082073569298,0.2721989154815674,0.0006545084971874737
8,0.017834118008613585,0.29123071432113645,0.0005782172325201155
9,0.015022536367177963,0.3013488709926605,0.0005
10,0.013445048034191132,0.30382142663002015,0.0004217827674798847
11,0.012388172093778849,0.30696632266044616,0.00034549150281252633
12,0.011828602198511362,0.2978026747703552,0.00027300475013022663
13,0.011033796239644289,0.27971896529197693,0.00020610737385376348
14,0.010630631726235152,0.29283379316329955,0.00014644660940672625
